"","X","words","a","b","g","u","STRING","LEN","FREQ","Orth","Orth_F","N1_F","N1_C","N2_F","N2_C","N3_F","N3_C","UN1_F","UN1_C","UN2_F","UN2_C","UN3_F","UN3_C"
"1",1,"play",1,-3.73903909949762,0.5,1,"play",4,268.074,6,24.32,10051.06,158.5,781.22,19.33,329.47,3,177536.15,24131,10736.97,1808.67,2048.45,298.5
"2",2,"hu",1,-3.14156116380292,0.5,1,"hu",2,NA,11,832.59,4579.22,5.5,0,0,NA,NA,181304.66,15439,2374.12,486,NA,NA
"3",3,"time",1,-2.96851944728685,0.5,1,"time",4,1770.21,10,5.6,24790.78,235.75,3582,18.33,1777.91,3,330404.94,41208,23338.23,4191,3055.73,222.5
"4",4,"him",1,-2.8455559530415,0.5,1,"him",3,2617.38,14,438.35,12643.44,55.33,5678.31,6.5,2617.38,1,217616.5,25177.67,20303.71,1741,3196.9,52
"5",5,"we",1,-2.7750742513431,0.5,1,"we",2,3317.08,11,1608.93,12166.18,6.5,3317.08,1,NA,NA,306803.05,34206.5,14486.49,789,NA,NA
"6",6,"plays",1,-2.76722709769059,0.5,1,"plays",5,41.7639,5,14.24,7024.83,550,748.95,37.5,329.29,10.67,194774.29,29478.8,8898.17,1473.75,1994.18,252.33
"7",7,"people",1,-2.75848192446225,0.5,1,"people",6,1317.05,0,0,8947.96,631,2156.06,72.8,1402.09,5.5,282148.41,37010.33,11804.21,2247.2,1829.27,97.25
"8",8,"ap",1,-2.74812484300023,0.5,1,"ap",2,NA,17,1132.36,9625.07,8.5,0,0,NA,NA,230178.32,29055,5990.98,1452,NA,NA
"9",9,"open",1,-2.73474702234906,0.5,1,"open",4,304.484,3,8.03,11323.22,108.75,3269.84,9.67,304.48,1,302426.67,37975.75,22083.27,3396.33,2037.18,285.5
"10",10,"uoy",1,-2.6540313628052,0.5,1,"uoy",3,NA,6,49.45,11572.75,59,148.35,3,0,0,173593.15,20286.33,791.7,213.5,7.32,9
"11",11,"khtna",1,-2.64532458318596,0.5,1,"khtna",5,NA,0,0,7196.72,189.4,25,4.25,0,0,267305.54,27293.8,3552.64,742.5,20.78,4.67
"12",12,"miss",1,-2.61230797958968,0.5,1,"miss",4,241.481,8,24.25,13923.98,274,998.49,22.33,266.05,3,233899.7,41219,18342.15,3497.67,1207.29,406
"13",13,"et",1,-2.6103310817184,0.5,1,"et",2,NA,15,1103.9,8279.23,7.5,0,0,NA,NA,456737.32,50848,13927.55,2447,NA,NA
"14",14,"moon",1,-2.60143925971745,0.5,1,"moon",4,54.7928,13,31.69,16041.88,224.5,3092.77,36,257.9,6,258922.33,30065,23132.03,3345,465.98,135
"15",15,"black",1,-2.56045265453626,0.5,1,"black",5,346.307,5,12.68,6487.72,303.4,1343.6,52.5,594.45,10.33,153179.78,21906.2,10412.52,2390,1725.69,335.33
"16",16,"ypla",1,-2.52851593857666,0.5,1,"ypla",4,NA,0,0,3890.02,77.25,1.07,1.67,0,0,177536.15,24131,7674.41,1658.33,1516.5,218.5
"17",17,"os",1,-2.49756646790343,0.5,1,"os",2,NA,14,4245.57,29718.99,7,0,0,NA,NA,293426.4,42091,8846.27,1638,NA,NA
"18",18,"fror",1,-2.45889718350229,0.5,1,"fror",4,NA,2,2116.57,8752.9,121.5,3185.24,10.33,2116.57,1,225940.03,29974.25,22154.41,2798.33,2451.37,86
"19",19,"look",1,-2.37678479487921,0.5,1,"look",4,557.923,12,70.84,13233.58,233,2786.86,35.33,972.56,6.5,211856.95,25262.25,9151.39,1474,2497.24,187.5
"20",20,"om",1,-2.30676865180142,0.5,1,"om",2,NA,14,3025.07,21175.51,7,0,0,NA,NA,212922.57,24029,18694.76,1876,NA,NA
"21",21,"left",1,-2.28637708858591,0.5,1,"left",4,567.561,7,9.83,15591.09,192.75,902.82,15.33,568.93,2.5,294587.1,34727.75,11659.92,2195.67,596.18,33.5
"22",22,"plane",1,-2.27828340674899,0.5,1,"plane",5,46.0474,6,121.43,10136.15,410.2,1154.37,53,389.32,12,287680.1,37964.4,27488.37,3694,1900,381.33
"23",23,"candy",1,-2.27629872510584,0.5,1,"candy",5,6.72268,7,4.03,5620.38,442.8,668.71,57,146.17,10.33,206259.82,26730,31927.98,2982.25,11975.33,391.67
"24",24,"become",1,-2.21360787286342,0.5,1,"become",6,392.057,1,279.85,7317.45,528.17,1426.36,40.8,621.36,4,275226.71,34704.83,20246.61,2461.2,4189.49,332
"25",25,"more",1,-2.16300118436895,0.5,1,"more",4,2427.66,20,19.84,21742.86,295.25,5522.53,39.33,2501.1,6.5,297507.82,37722.75,35510.03,4303,4047.56,322
"26",26,"fafever",1,-2.12332105081287,0.5,1,"fafever",7,NA,0,0,5596.7,1024.14,1018.46,163.83,206.19,5,271150.44,32794.14,19869.16,2796.33,3461.43,286.2
"27",27,"library",1,-2.09089770287974,0.5,1,"library",7,50.6878,0,0,4191.15,672.14,496.05,75,91.51,8.2,212728.23,31142.71,14059.7,2899.33,585.17,142.4
"28",28,"wood",1,-2.08601635528891,0.5,1,"wood",4,66.8104,11,131.96,18422.01,228.5,2354.92,30.67,687.32,5,226246.18,23186.25,8607.57,1021.33,1296.61,169
"29",29,"tried",1,-2.08023096257732,0.5,1,"tried",5,215.066,8,14.52,13746.16,493.6,1586.39,106.5,363.54,14.67,325642.67,42125.4,20760.49,4757.5,2258.33,521.33
"30",30,"ot",1,-2.06976114533163,0.5,1,"ot",2,NA,20,2904.34,29043.4,10,0,0,NA,NA,357657.21,35767,15591.74,1587,NA,NA
"31",31,"cok",1,-2.0666328232987,0.5,1,"cok",3,NA,13,6.09,10014.74,55.67,39.59,6.5,0,0,156967.2,20339.33,12578.26,2216.5,6.6,8
"32",32,"complete",1,-2.03519328279028,0.5,1,"complete",8,99.2934,0,0,3709.31,946.5,688.99,152,210.61,23,278232.62,35179,18425.33,3436,2459.76,359.17
"33",33,"ujst",1,-2.02997720329489,0.5,1,"ujst",4,NA,0,0,9767.95,102.75,2040.24,14.33,0,0,194825.52,27160.5,11207.03,2200,0,0
"34",34,"asca",1,-2.02303907804512,0.5,1,"asca",4,NA,1,27.31,2753.46,69.75,26.51,3,0,0,285981.68,39316.25,17375.68,2519.33,322.75,186
"35",35,"from",1,-2.0059739500191,0.5,1,"from",4,4229.52,2,1.93,9275.84,122.75,4635.42,12,4231.45,2,190894.84,23821,15914.85,2034.33,4688.21,139
"36",36,"inni",1,-1.99612879705782,0.5,1,"inni",4,NA,1,2.14,4606.25,81.25,685.59,3.33,1.07,0.5,296072.09,43640,30440.02,5378.33,607.87,151.5
"37",37,"them",1,-1.98876480730081,0.5,1,"them",4,2305.28,7,937.83,24886.27,138.25,13599.42,14.33,5587.55,4,315224.54,32209.75,84955.59,2144,44210.14,342
"38",38,"round",1,-1.97140350918502,0.5,1,"round",5,322.51,7,112.76,10897.17,380.8,3128.81,48,1062.88,9.33,227412.38,30244.8,30565.21,3014.5,4594.58,514
"39",39,"peace",1,-1.95463402226432,0.5,1,"peace",5,90.7265,3,184.55,10633.42,428.6,1989.63,53.25,413.42,7.67,323913.65,41537.4,17907.74,2581,1742.88,180.33
"40",40,"sun",1,-1.94013981637983,0.5,1,"sun",3,155.217,17,34.55,8546.83,61.33,352.29,7.5,155.22,1,222783.33,36080.33,10823.43,1935,377.07,97
"41",41,"spu",1,-1.93599829081564,0.5,1,"spu",3,NA,3,3.39,4954.7,24.33,4.91,1,0,0,153402.7,28526,4464.42,1064.5,75.38,47
"42",42,"come",1,-1.92052796126019,0.5,1,"come",4,845.987,16,200.29,18482.25,273.25,3923.41,31.33,2049.4,5,265942.64,33540.25,22448.34,2909.67,6345.91,524
"43",43,"orn",1,-1.90310118065317,0.5,1,"orn",3,NA,5,185.5,7099.31,37.67,3.24,2,0,0,284248.04,37187,21143.73,2461.5,813.98,193
"44",44,"morning",1,-1.86860868331411,0.5,1,"morning",7,305.257,2,2.92,8787.21,1212.71,3620.48,425,2160.99,218.8,233088.7,32897.14,29896.91,5000.67,7505.13,1628.4
"45",45,"through",1,-1.85019466110768,0.5,1,"through",7,956.346,0,0,3960.19,439.43,1183.65,34,972.23,7,235648.79,24408.71,34711.28,1756.5,3336.75,221.6
"46",46,"tfaer",1,-1.84509430243048,0.5,1,"tfaer",5,NA,0,0,11729.74,415.2,1843.47,46.75,0,0,326597.84,38161,17921.16,3016.5,13.31,17.67
"47",47,"mun",1,-1.83594781315051,0.5,1,"mun",3,NA,17,133.31,6883.25,55,280.42,7,0,0,169114.11,24039,8389.28,1575,403.54,80
"48",48,"daople",1,-1.83348726950685,0.5,1,"daople",6,NA,1,0.24,7944.38,648.5,1567.59,69.4,743.21,4.75,273536.85,34237.67,9402.2,1796.4,1154.68,85
"49",49,"great",1,-1.82314424706708,0.5,1,"great",5,639.726,3,15.27,8767.35,305.4,1607.14,45.5,912.1,9.67,324433.67,39926.2,33401.86,4619.25,4254.43,431.33
"50",50,"utashing",1,-1.81598071868811,0.5,1,"utashing",8,NA,1,0,4051.46,1033,1730.09,422.43,1015.43,229.5,259557.82,33228.25,31976.2,4639.86,6372.15,1428.67
"51",51,"inside",1,-1.81105574047196,0.5,1,"inside",6,189.187,1,0,5731.84,461.17,634.51,42.4,280.97,7.5,308166,45199.33,27903.27,4956.2,2668.21,378.25
"52",52,"sick",1,-1.80582529275315,0.5,1,"sick",4,70.6179,15,12.93,11996.14,200,1099.7,28.33,127.55,6,179232.1,31741.5,13078.67,2707.67,992.04,267.5
"53",53,"farmer",1,-1.80480468394502,0.5,1,"farmer",6,32.5425,4,23.98,9358.88,974.17,2235.8,201.4,155.74,13,264403.31,34448,27102.65,4051.2,1035.43,199.25
"54",54,"without",1,-1.79322546989123,0.5,1,"without",7,595.76,0,0,4289.33,534.14,979.19,55.83,625.08,9.4,266836.87,27709,42902.27,2175.5,6647.61,244.4
"55",55,"hot",1,-1.75558034039146,0.5,1,"hot",3,143.378,19,390.3,22922.38,77.33,3766.43,9,143.38,1,320006.26,27977,18063.43,1757.5,549.36,105
"56",56,"will",1,-1.75481473194352,0.5,1,"will",4,2105.87,17,96.28,16600.78,191.25,6173.81,38.33,2328.16,8.5,184456.21,28006.25,16563.03,2125,3844.84,319
"57",57,"understand",1,-1.74252610909463,0.5,1,"understand",10,188.949,0,0,2339.42,681.4,583.71,107.56,288.82,32.88,282604.87,37243.3,35293.35,4667,7574.72,886
"58",58,"best",1,-1.73409522480316,0.5,1,"best",4,345.772,15,42.99,17453.67,223.5,3668.62,29.33,604.65,5.5,310876.24,40790,30419.08,6641.67,2910.71,905
"59",59,"loms",1,-1.72890732671845,0.5,1,"loms",4,NA,12,9.87,13459.51,305.25,2004.45,28.33,0.71,2,214902.86,32069,11544.69,1629.67,136.8,63
"60",60,"number",1,-1.71918356776488,0.5,1,"number",6,302.283,4,1.03,7006.33,760.5,1759.28,162.6,384.01,14.75,222971.99,30924,18973.11,3002.4,1101.73,208
"61",61,"chance",1,-1.71742494298829,0.5,1,"chance",6,147.483,2,133.5,6292.68,515.83,1020.78,69.4,444.05,17.25,277961.26,33650.33,29961.14,2983,4128.49,577.75
"62",62,"light",1,-1.70147005254997,0.5,1,"light",5,298.535,9,251.96,6473.75,241.8,2249.44,23.5,1841.78,8.33,239274.35,29010,11176.79,1916,4202.49,420.33
"63",63,"faster",1,-1.70095126904216,0.5,1,"faster",6,35.9931,12,8.27,9508.89,980.67,2608.09,233.4,621.61,45.75,316119.33,40279.17,34150.22,5694.4,4312.27,954.25
"64",64,"yos",1,-1.68764048004557,0.5,1,"yos",3,NA,9,747.24,18576.92,55.67,3170.37,4,0,0,222200.43,31082.67,9145.94,872.5,1.07,1
"65",65,"almost",1,-1.67572080182429,0.5,1,"almost",6,481.177,0,0,4770.02,364.33,913.32,37.6,487.74,3.5,272263.37,34730.17,17227.8,2972.8,1464.74,129.25
"66",66,"wews",1,-1.67395887611947,0.5,1,"wews",4,NA,12,16.21,15234.23,248.75,2147.27,19.33,96.23,3.5,242413.21,31055.5,6553.94,526.33,209.35,40.5
"67",67,"chigshen",1,-1.66512090818506,0.5,1,"chigshen",8,NA,0,0,3766.96,854.88,625.05,97.14,147.04,13.67,258402.33,33217.5,33339.03,2551,2304.55,211.5
"68",68,"sobsaller",1,-1.65966252021684,0.5,1,"sobsaller",9,NA,0,0,2785.99,902.33,324.23,100.25,21.37,11.43,266992.06,38784.22,21399.97,3503.88,2002.07,378
"69",69,"ef",1,-1.6525096366627,0.5,1,"ef",2,NA,7,4728.65,16550.28,3.5,0,0,NA,NA,308060.24,35670.5,4674.7,809,NA,NA
"70",70,"che",1,-1.65007073414051,0.5,1,"che",3,NA,4,16431.17,49872.23,36.67,32859.39,1.5,0,0,294209.93,32833.33,67480.92,2769.5,2439.8,742
"71",71,"jixel",1,-1.64875492502882,0.5,1,"jixel",5,NA,0,0,6645.42,352.4,242.49,25,37.46,3,201887.93,28753.6,4587.93,818.25,38.81,10.33
"72",72,"watch",1,-1.64755145410079,0.5,1,"watch",5,110.597,8,22.42,8513.32,311,1819.15,52,403.74,11.33,245526.46,24014,21160.59,2890.25,945.26,232.33
"73",73,"insows",1,-1.62867514472738,0.5,1,"insows",6,NA,0,0,4403.68,547.33,316.97,30.2,76.82,5.75,255840.62,37878.5,24023.3,3817.4,859.79,202.25
"74",74,"natural",1,-1.61038604264208,0.5,1,"natural",7,163.665,0,0,3843.05,564,787.76,69.17,350.4,8.8,281901.67,35438,20861.13,3891.5,1983.01,355
"75",75,"back",1,-1.60527617849141,0.5,1,"back",4,1235.84,16,22.16,12493.28,226.75,2378.72,36.33,1335.52,5.5,148964.86,20045.75,8339.06,1853,2228.36,387
"76",76,"cibsus",1,-1.60432045696531,0.5,1,"cibsus",6,NA,0,0,4864.99,701.33,109.4,23.6,4.09,1.5,188954.55,33639,7055.47,1337.6,77.61,22.25
"77",77,"answer",1,-1.58269652488628,0.5,1,"answer",6,162.118,0,0,7469.19,735,1702.56,143.4,181.87,3.5,298121.9,39902.5,31457.38,4302.4,1861.81,232.25
"78",78,"guoys",1,-1.57449291341012,0.5,1,"guoys",5,NA,1,0.36,6492.68,520.6,82.13,14,1.03,1.33,173703.94,25684.4,1817.25,389.25,77.04,25.33
"79",79,"give",1,-1.56881621430857,0.5,1,"give",4,465.947,8,101.73,17107.14,208.75,2764.27,15,724.53,4,237964.38,33548,13571.33,1837,3276.39,486
"80",80,"imeyits",1,-1.56505304413307,0.5,1,"imeyits",7,NA,0,0,5373.65,1022.57,449.8,87.67,22.24,7.6,281503.01,39022.57,15717.92,1843.5,1090.9,82.8
"81",81,"garden",1,-1.54083311308486,0.5,1,"garden",6,114.107,2,3.69,8554.45,921.67,992.95,118,279.56,15.5,280518.49,36913.5,21887.54,3459.6,1783.88,333.25
"82",82,"imagine",1,-1.52892296652264,0.5,1,"imagine",7,81.862,1,0.36,6738.47,950,1807.76,232.17,200.55,26.6,283909.9,38923.71,23523.76,3971.33,1539.35,402.8
"83",83,"long",1,-1.52709818228967,0.5,1,"long",4,780.604,8,7.16,11458.24,227.25,1848.72,33.33,801.34,3.5,215974.28,29560.75,32228.51,5762.67,2427.93,222
"84",84,"building",1,-1.51013540410854,0.5,1,"building",8,160.333,0,0,4394.39,1135.38,1977.45,422.14,1174.51,221.17,187780.55,28996,23665.26,4116.57,5970.97,1307.67
"85",85,"however",1,-1.50922649039373,0.5,1,"however",7,435.546,0,0,5890.16,965.71,1222.17,170.5,474.79,7.2,283822.06,31798.57,25269.6,3091.83,4328.85,331.2
"86",86,"phlere",1,-1.50323200085312,0.5,1,"phlere",6,NA,0,0,6734.96,534.83,782.79,57.8,17.42,3.75,296465.41,37379.83,30388.68,4973.6,3345.87,324.5
"87",87,"slellen",1,-1.49440342125156,0.5,1,"slellen",7,NA,0,0,6023.68,1067.86,619.97,143.67,48.27,13,300447.98,43536,23273.31,4004.67,1430.33,306
"88",88,"money",1,-1.48631260522489,0.5,1,"money",5,386.524,2,10.53,10209.13,557.8,796.76,52,461.37,7.33,262719.6,31897.6,22116.93,3265.25,3088.92,333
"89",89,"arm",1,-1.4832762909488,0.5,1,"arm",3,111.132,5,894.28,15938.57,37.33,2326.11,3,111.13,1,242466.47,31996,18588.57,2862.5,1176.65,220
"90",90,"spy",1,-1.47093734712007,0.5,1,"spy",3,8.32899,7,123.17,5230.05,37.67,9.07,1.5,8.33,1,140683.87,25387.67,3018.81,766.5,12.73,8
"91",91,"street",1,-1.46171155537362,0.5,1,"street",6,261.768,0,0,9622.83,918.67,1218.66,82.4,471.75,13.75,388929.34,48936.83,26547.12,4117.6,2509.84,422
"92",92,"ip",1,-1.45184140570859,0.5,1,"ip",2,NA,15,2929.42,21970.64,7.5,0,0,NA,NA,192001.15,32308.5,2162.8,906,NA,NA
"93",93,"twew",1,-1.45048897532322,0.5,1,"twew",4,NA,2,0.09,15418.14,115.75,318.42,10.67,0,0.5,274528.62,27893.5,7068.23,507.67,494.8,21.5
"94",94,"ge",1,-1.44075688234591,0.5,1,"ge",2,NA,12,1832.43,10994.59,6,0,0,NA,NA,302649.83,40083.5,12317.43,1988,NA,NA
"95",95,"once",1,-1.41618937618876,0.5,1,"once",4,578.746,0,0,13273.77,140.75,1502.51,8,578.75,1,311942.4,39576.25,25375.52,3822,4085.75,547
"96",96,"dag",1,-1.39692560063715,0.5,1,"dag",3,NA,19,53.08,11187.76,74,450.93,8,0,0,210735.54,26586,5595.83,1120.5,23.98,31
"97",97,"lame",1,-1.38084009642298,0.5,1,"lame",4,4.46196,19,112.85,20307.95,275.25,3499.7,30.67,923.21,6.5,293956.29,37362.75,16572.08,2621.67,1795.16,233
"98",98,"hencory",1,-1.37011707916228,0.5,1,"hencory",7,NA,0,0,5844.94,777.43,743.22,90.67,62.94,6.8,259303.2,31303.86,39889.94,3363,2121.49,296.8
"99",99,"pickle",1,-1.36694614699221,0.5,1,"pickle",6,2.73667,4,1.52,7083.54,560,1067.85,94,99.69,16,203850.59,30857.5,11074.83,2559,618.92,224
"100",100,"mot",1,-1.36197116048437,0.5,1,"mot",3,NA,20,321.71,16549.84,76,3136.28,9,0,0,272677.86,28760,13623.01,1579.5,1021.37,142
"101",101,"cuppom",1,-1.35960455297573,0.5,1,"cuppom",6,NA,0,0,3358.12,378.33,170.21,33.8,31.4,4.25,136256.99,20270.33,8500.48,1283.2,535.52,75.25
"102",102,"animal",1,-1.35761959374093,0.5,1,"animal",6,119.164,0,0,3448.34,348.33,666.27,46.6,161.52,3.75,271410.58,35856.67,26406.13,3473.2,1095.1,228
