"","words","a","b","g","u"
"1","play",1,-3.73903909949762,0.5,1
"2","hu",1,-3.14156116380292,0.5,1
"3","time",1,-2.96851944728685,0.5,1
"4","him",1,-2.8455559530415,0.5,1
"5","we",1,-2.7750742513431,0.5,1
"6","plays",1,-2.76722709769059,0.5,1
"7","people",1,-2.75848192446225,0.5,1
"8","ap",1,-2.74812484300023,0.5,1
"9","open",1,-2.73474702234906,0.5,1
"10","uoy",1,-2.6540313628052,0.5,1
"11","khtna",1,-2.64532458318596,0.5,1
"12","miss",1,-2.61230797958968,0.5,1
"13","et",1,-2.6103310817184,0.5,1
"14","moon",1,-2.60143925971745,0.5,1
"15","black",1,-2.56045265453626,0.5,1
"16","ypla",1,-2.52851593857666,0.5,1
"17","os",1,-2.49756646790343,0.5,1
"18","fror",1,-2.45889718350229,0.5,1
"19","look",1,-2.37678479487921,0.5,1
"20","om",1,-2.30676865180142,0.5,1
"21","left",1,-2.28637708858591,0.5,1
"22","plane",1,-2.27828340674899,0.5,1
"23","candy",1,-2.27629872510584,0.5,1
"24","become",1,-2.21360787286342,0.5,1
"25","more",1,-2.16300118436895,0.5,1
"26","fafever",1,-2.12332105081287,0.5,1
"27","library",1,-2.09089770287974,0.5,1
"28","wood",1,-2.08601635528891,0.5,1
"29","tried",1,-2.08023096257732,0.5,1
"30","ot",1,-2.06976114533163,0.5,1
"31","cok",1,-2.0666328232987,0.5,1
"32","complete",1,-2.03519328279028,0.5,1
"33","ujst",1,-2.02997720329489,0.5,1
"34","asca",1,-2.02303907804512,0.5,1
"35","from",1,-2.0059739500191,0.5,1
"36","inni",1,-1.99612879705782,0.5,1
"37","them",1,-1.98876480730081,0.5,1
"38","round",1,-1.97140350918502,0.5,1
"39","peace",1,-1.95463402226432,0.5,1
"40","sun",1,-1.94013981637983,0.5,1
"41","spu",1,-1.93599829081564,0.5,1
"42","come",1,-1.92052796126019,0.5,1
"43","orn",1,-1.90310118065317,0.5,1
"44","morning",1,-1.86860868331411,0.5,1
"45","through",1,-1.85019466110768,0.5,1
"46","tfaer",1,-1.84509430243048,0.5,1
"47","mun",1,-1.83594781315051,0.5,1
"48","daople",1,-1.83348726950685,0.5,1
"49","great",1,-1.82314424706708,0.5,1
"50","utashing",1,-1.81598071868811,0.5,1
"51","inside",1,-1.81105574047196,0.5,1
"52","sick",1,-1.80582529275315,0.5,1
"53","farmer",1,-1.80480468394502,0.5,1
"54","without",1,-1.79322546989123,0.5,1
"55","hot",1,-1.75558034039146,0.5,1
"56","will",1,-1.75481473194352,0.5,1
"57","understand",1,-1.74252610909463,0.5,1
"58","best",1,-1.73409522480316,0.5,1
"59","loms",1,-1.72890732671845,0.5,1
"60","number",1,-1.71918356776488,0.5,1
"61","chance",1,-1.71742494298829,0.5,1
"62","light",1,-1.70147005254997,0.5,1
"63","faster",1,-1.70095126904216,0.5,1
"64","yos",1,-1.68764048004557,0.5,1
"65","almost",1,-1.67572080182429,0.5,1
"66","wews",1,-1.67395887611947,0.5,1
"67","chigshen",1,-1.66512090818506,0.5,1
"68","sobsaller",1,-1.65966252021684,0.5,1
"69","ef",1,-1.6525096366627,0.5,1
"70","che",1,-1.65007073414051,0.5,1
"71","jixel",1,-1.64875492502882,0.5,1
"72","watch",1,-1.64755145410079,0.5,1
"73","insows",1,-1.62867514472738,0.5,1
"74","natural",1,-1.61038604264208,0.5,1
"75","back",1,-1.60527617849141,0.5,1
"76","cibsus",1,-1.60432045696531,0.5,1
"77","answer",1,-1.58269652488628,0.5,1
"78","guoys",1,-1.57449291341012,0.5,1
"79","give",1,-1.56881621430857,0.5,1
"80","imeyits",1,-1.56505304413307,0.5,1
"81","garden",1,-1.54083311308486,0.5,1
"82","imagine",1,-1.52892296652264,0.5,1
"83","long",1,-1.52709818228967,0.5,1
"84","building",1,-1.51013540410854,0.5,1
"85","however",1,-1.50922649039373,0.5,1
"86","phlere",1,-1.50323200085312,0.5,1
"87","slellen",1,-1.49440342125156,0.5,1
"88","money",1,-1.48631260522489,0.5,1
"89","arm",1,-1.4832762909488,0.5,1
"90","spy",1,-1.47093734712007,0.5,1
"91","street",1,-1.46171155537362,0.5,1
"92","ip",1,-1.45184140570859,0.5,1
"93","twew",1,-1.45048897532322,0.5,1
"94","ge",1,-1.44075688234591,0.5,1
"95","once",1,-1.41618937618876,0.5,1
"96","dag",1,-1.39692560063715,0.5,1
"97","lame",1,-1.38084009642298,0.5,1
"98","hencory",1,-1.37011707916228,0.5,1
"99","pickle",1,-1.36694614699221,0.5,1
"100","mot",1,-1.36197116048437,0.5,1
"101","cuppom",1,-1.35960455297573,0.5,1
"102","animal",1,-1.35761959374093,0.5,1
"103","hammer",1,-1.35031050309236,0.5,1
"104","history",1,-1.34147354569246,0.5,1
"105","oban",1,-1.33075685142073,0.5,1
"106","clomify",1,-1.31635527862383,0.5,1
"107","dood",1,-1.26862655312594,0.5,1
"108","nuder",1,-1.26008522575915,0.5,1
"109","guess",1,-1.25312792096916,0.5,1
"110","waay",1,-1.25159571021376,0.5,1
"111","benon",1,-1.24232232303292,0.5,1
"112","pretty",1,-1.22215473705723,0.5,1
"113","into",1,-1.20870173497745,0.5,1
"114","rebosks",1,-1.18025827036017,0.5,1
"115","brought",1,-1.16015381833882,0.5,1
"116","losh",1,-1.15252310944917,0.5,1
"117","question",1,-1.15014129593373,0.5,1
"118","unger",1,-1.11996223269714,0.5,1
"119","ggnoi",1,-1.10849144025907,0.5,1
"120","alk",1,-1.1007935069401,0.5,1
"121","fawerty",1,-1.09501179739725,0.5,1
"122","tascer",1,-1.0937703132313,0.5,1
"123","wirtoul",1,-1.08950810333937,0.5,1
"124","business",1,-1.08844105382327,0.5,1
"125","reverse",1,-1.07714886378638,0.5,1
"126","mystery",1,-1.07642448746146,0.5,1
"127","brush",1,-1.07330009403811,0.5,1
"128","begin",1,-1.07068930463875,0.5,1
"129","agreed",1,-1.05809565730433,0.5,1
"130","fasees",1,-1.04861757117214,0.5,1
"131","de",1,-1.04461280029841,0.5,1
"132","cag",1,-1.03596273800033,0.5,1
"133","truck",1,-1.02923522662575,0.5,1
"134","waves",1,-1.02506725903664,0.5,1
"135","piscil",1,-1.00159552362525,0.5,1
"136","duttery",1,-0.971260909392027,0.5,1
"137","destrifs",1,-0.964897512468039,0.5,1
"138","beeltisul",1,-0.955036469122616,0.5,1
"139","describe",1,-0.953564281717111,0.5,1
"140","brubs",1,-0.927050585372208,0.5,1
"141","besime",1,-0.923591593743389,0.5,1
"142","cowbim",1,-0.91326487954828,0.5,1
"143","hus",1,-0.912654593687442,0.5,1
"144","idthepiates",1,-0.880302099889143,0.5,1
"145","famous",1,-0.876862286842124,0.5,1
"146","alipol",1,-0.860270150906114,0.5,1
"147","thantboard",1,-0.856892427283194,0.5,1
"148","hect",1,-0.814093417311613,0.5,1
"149","sildal",1,-0.79233196500229,0.5,1
"150","nied",1,-0.779371028431757,0.5,1
"151","compliment",1,-0.765847470513476,0.5,1
"152","cotosks",1,-0.70651856321139,0.5,1
"153","pencil",1,-0.68927568547572,0.5,1
"154","purchase",1,-0.680325456419107,0.5,1
"155","lant",1,-0.679664889892691,0.5,1
"156","crovel",1,-0.667316480434314,0.5,1
"157","hom",1,-0.665845211138739,0.5,1
"158","short",1,-0.665376035654098,0.5,1
"159","leald",1,-0.65527316136933,0.5,1
"160","nop",1,-0.65445725508184,0.5,1
"161","scays",1,-0.638074059269449,0.5,1
"162","flankfopper",1,-0.636753421153898,0.5,1
"163","grat",1,-0.63634871532243,0.5,1
"164","fireer",1,-0.628503134088053,0.5,1
"165","went",1,-0.625342350852639,0.5,1
"166","ston",1,-0.615322741574525,0.5,1
"167","holily",1,-0.610740266357559,0.5,1
"168","etecants",1,-0.600228316105784,0.5,1
"169","grasshopper",1,-0.590392362495676,0.5,1
"170","ther",1,-0.536873312460694,0.5,1
"171","bledge",1,-0.519348715978798,0.5,1
"172","cotplicant",1,-0.518060968498282,0.5,1
"173","congusozation",1,-0.508883313950134,0.5,1
"174","cas",1,-0.496346373263511,0.5,1
"175","custom",1,-0.483444899086928,0.5,1
"176","shine",1,-0.482229989863495,0.5,1
"177","blans",1,-0.479772445105629,0.5,1
"178","contain",1,-0.460263215039013,0.5,1
"179","toy",1,-0.442637158314331,0.5,1
"180","drustion",1,-0.441288924320363,0.5,1
"181","bangs",1,-0.413931281538661,0.5,1
"182","germantia",1,-0.396926990858083,0.5,1
"183","hane",1,-0.334517651495678,0.5,1
"184","crit",1,-0.329907404518575,0.5,1
"185","liberty",1,-0.329282796381185,0.5,1
"186","ase",1,-0.329190746783239,0.5,1
"187","gravel",1,-0.32779293956261,0.5,1
"188","albust",1,-0.298236587718629,0.5,1
"189","baafness",1,-0.291995811492532,0.5,1
"190","distance",1,-0.289734610293965,0.5,1
"191","sint",1,-0.275642229682514,0.5,1
"192","speveal",1,-0.273750845589011,0.5,1
"193","budget",1,-0.263410530957988,0.5,1
"194","sudsage",1,-0.258988003161548,0.5,1
"195","collosks",1,-0.217066941229415,0.5,1
"196","goud",1,-0.205053722716034,0.5,1
"197","fimp",1,-0.204905812529056,0.5,1
"198","tice",1,-0.198042955387395,0.5,1
"199","arsher",1,-0.188146985810014,0.5,1
"200","bove",1,-0.184006963149091,0.5,1
"201","slace",1,-0.13909095196053,0.5,1
"202","warpen",1,-0.129339564561774,0.5,1
"203","tate",1,-0.121423162166381,0.5,1
"204","bere",1,-0.114956550551931,0.5,1
"205","strosh",1,-0.0996740059918246,0.5,1
"206","hube",1,-0.071339160481176,0.5,1
"207","elements",1,-0.0599009792248325,0.5,1
"208","mout",1,-0.0509077249506645,0.5,1
"209","woft",1,-0.0491524726666755,0.5,1
"210","molent",1,-0.0424311996476087,0.5,1
"211","bulbet",1,-0.0195781140604395,0.5,1
"212","mich",1,-0.0180089353403209,0.5,1
"213","loak",1,-0.00674250146213566,0.5,1
"214","jewel",1,0.00695898382518386,0.5,1
"215","inpant",1,0.0143239556089595,0.5,1
"216","wawed",1,0.019688943008936,0.5,1
"217","pame",1,0.0479328590017692,0.5,1
"218","charks",1,0.0561365057939378,0.5,1
"219","ancrusinishness",1,0.0630678497450917,0.5,1
"220","leld",1,0.080083018893724,0.5,1
"221","runey",1,0.0834211057607722,0.5,1
"222","shring",1,0.101420821456937,0.5,1
"223","wase",1,0.110299634589296,0.5,1
"224","banny",1,0.1397512655789,0.5,1
"225","han",1,0.146419073261604,0.5,1
"226","telechinct",1,0.154605470894005,0.5,1
"227","resolve",1,0.157108218430844,0.5,1
"228","ablood",1,0.170790683449416,0.5,1
"229","trull",1,0.213525686428662,0.5,1
"230","naw",1,0.213866602192946,0.5,1
"231","hadder",1,0.223189772425479,0.5,1
"232","investigate",1,0.24415177121419,0.5,1
"233","an",1,0.248371568471077,0.5,1
"234","gaian",1,0.251885800253409,0.5,1
"235","vesural",1,0.252218842236403,0.5,1
"236","spoll",1,0.268428469324049,0.5,1
"237","distides",1,0.274989636728897,0.5,1
"238","hant",1,0.275124268968232,0.5,1
"239","fite",1,0.294486502218909,0.5,1
"240","fattify",1,0.331339259430698,0.5,1
"241","liffs",1,0.336210678465895,0.5,1
"242","mannanency",1,0.337808764509089,0.5,1
"243","groon",1,0.393926557452957,0.5,1
"244","freat",1,0.423728613138922,0.5,1
"245","coth",1,0.552126140833419,0.5,1
"246","fistory",1,0.572749943972443,0.5,1
"247","sids",1,0.588880773805669,0.5,1
"248","pealt",1,0.62567511984669,0.5,1
"249","trood",1,0.634932192497293,0.5,1
"250","roder",1,0.655940921994191,0.5,1
"251","doubtful",1,0.664531101470132,0.5,1
"252","garbant",1,0.666513530872834,0.5,1
"253","moop",1,0.697249741760461,0.5,1
"254","strarms",1,0.820455462781721,0.5,1
"255","purshare",1,0.837989257541243,0.5,1
"256","lape",1,0.864746699791322,0.5,1
"257","beller",1,0.883177856678886,0.5,1
"258","wread",1,0.899591537097323,0.5,1
"259","invent",1,0.914592520439703,0.5,1
"260","creat",1,0.985175969923053,0.5,1
"261","rescets",1,0.992932469749017,0.5,1
"262","overtruan",1,0.996706036773864,0.5,1
"263","immiterise",1,1.02210716019821,0.5,1
"264","contive",1,1.07440208053917,0.5,1
"265","mistive",1,1.08486619851858,0.5,1
"266","soth",1,1.11235936484313,0.5,1
"267","configuration",1,1.14670085523686,0.5,1
"268","pledge",1,1.16251133868443,0.5,1
"269","dryer",1,1.17469695655084,0.5,1
"270","qualify",1,1.22337912462723,0.5,1
"271","circus",1,1.23728944912958,0.5,1
"272","serning",1,1.25112482259139,0.5,1
"273","testify",1,1.26260083740387,0.5,1
"274","swane",1,1.28616664221113,0.5,1
"275","whose",1,1.29270165267533,0.5,1
"276","guarantee",1,1.3370842216036,0.5,1
"277","wared",1,1.35616104732998,0.5,1
"278","med",1,1.41429258450879,0.5,1
"279","fave",1,1.43839736309174,0.5,1
"280","overwhelm",1,1.45071672926251,0.5,1
"281","sain",1,1.51394755746355,0.5,1
"282","snose",1,1.67457854336093,0.5,1
"283","fing",1,1.67514761783374,0.5,1
"284","hust",1,1.73685020367134,0.5,1
"285","fatter",1,1.82470383621064,0.5,1
"286","garment",1,1.83170477140682,0.5,1
"287","complase",1,1.98917982319906,0.5,1
"288","streat",1,2.29624679600507,0.5,1
"289","chanding",1,2.42468757825293,0.5,1
"290","shink",1,2.48782585603219,0.5,1
"291","accustomed",1,2.51818491239098,0.5,1
"292","mader",1,2.52466686797817,0.5,1
"293","rackle",1,2.67631362531493,0.5,1
"294","appropriates",1,2.78083040009305,0.5,1
"295","potent",1,3.09275616569806,0.5,1
"296","bads",1,3.86203315333126,0.5,1
"297","recorse",1,4.03644718698263,0.5,1
"298","seadrill",1,4.05302595060784,0.5,1
"299","telescoped",1,4.39147931634625,0.5,1
"300","bot",1,5.11815927151842,0.5,1
