STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C
able,4,318.346,3,1.88,12677.22,169.25,534.56,15.67,320.28,1.5,284852.37,36324.75,14216.97,3016.67,3767.56,880.5
ablood,6,NA,0,0,5538.13,442.33,197.71,20,4.06,1.5,238464.68,28271.83,9038.43,1699.4,2021.15,330
accastanct,10,NA,0,0,1501.35,485.2,318.13,72.67,102.34,17.5,283008.06,35974,21922.61,3101.56,2032.75,373.25
accustomed,10,21.0604,0,0,1512.29,573,392.66,120.33,75.38,13.38,250242.32,32742.8,21576.28,3031.11,2163.25,248.75
acquisitiveness,15,0.297464,0,0,31.44,58.27,7.28,23.93,4.83,16.69,272693.68,39437.47,20886.16,3826,2334.24,647.08
after,5,1185.51,3,5.81,8994.55,330.8,3384.79,66.75,1702.09,7.67,326597.84,38161,26220.82,4821.75,4506.16,785.67
ag,2,NA,9,1856.46,8354.06,4.5,0,0,NA,NA,232896.9,29288,6457.76,1329,NA,NA
again,5,766.802,0,0,6698.84,239.2,1090.55,19.25,873.97,5.67,287943.66,37547.8,26036.36,4199.25,2824.18,204
agreed,6,100.543,1,6.96,9473.15,889.5,2275.97,210,255.42,6.5,319613.15,41010.83,24988.43,3702.4,1783.31,206.5
air,3,261.411,5,55.35,22452.08,54.33,399.79,3.5,261.41,1,310035.42,43210.67,11885.14,1410.5,1536.7,261
albust,6,NA,0,0,4243.39,325.17,538.43,35.6,30.83,3,231990.59,31566.33,17769.58,3019.6,1054.82,132.5
alipol,6,NA,0,0,3819,352.83,395.6,28.2,2.54,1.75,238164.59,33084.67,14687.31,2928.8,892.05,328.75
alk,3,NA,9,414.97,14641.35,23.67,1757.74,3,0,0,194318.72,25436,16197.94,2542,978.12,93
almost,6,481.177,0,0,4770.02,364.33,913.32,37.6,487.74,3.5,272263.37,34730.17,17227.8,2972.8,1464.74,129.25
am,2,738.008,11,1453.64,8733,6.5,738.01,1,NA,NA,242249.74,28314.5,8231.12,1540,NA,NA
an,2,3313.39,11,3544.29,22806.98,6.5,3313.39,1,NA,NA,334249.27,40386.5,64251.37,5694,NA,NA
ancrusinishness,15,NA,0,0,40.85,61.67,5.15,18.43,2.29,10.85,276741.93,41010.2,23084.57,4148.93,1645.25,561.77
and,3,28470.7,5,375.88,37263.41,37.67,29341.41,2.5,28470.7,1,278303.78,33985,55124.62,4203,32583.14,814
animal,6,119.164,0,0,3448.34,348.33,666.27,46.6,161.52,3.75,271410.58,35856.67,26406.13,3473.2,1095.1,228
answer,6,162.118,0,0,7469.19,735,1702.56,143.4,181.87,3.5,298121.9,39902.5,31457.38,4302.4,1861.81,232.25
ap,2,NA,17,1132.36,9625.07,8.5,0,0,NA,NA,230178.32,29055,5990.98,1452,NA,NA
appropriates,12,0.118986,1,2.38,508.98,399.58,106.19,100.55,34.39,33.4,274236.91,37119.42,18402.13,4137.18,2288.93,641.8
ar,2,NA,19,1146.32,10890,9.5,0,0,NA,NA,312340.13,40621,32942.45,4822,NA,NA
arf,3,NA,5,908.22,15162.11,28.67,2270.54,2.5,0,0,239838.18,29703,16889.61,2513,58.54,25
arm,3,111.132,5,894.28,15938.57,37.33,2326.11,3,111.13,1,242466.47,31996,18588.57,2862.5,1176.65,220
arsher,6,NA,1,5.24,8103.53,803.83,2017.71,170,522.36,23,316216.26,41223.67,48431.69,4881.6,6159.18,379.5
as,2,6945.78,11,1878.31,17276.49,6.5,6945.78,1,NA,NA,322753.58,46376.5,32536.91,2614,NA,NA
asca,4,NA,1,27.31,2753.46,69.75,26.51,3,0,0,285981.68,39316.25,17375.68,2519.33,322.75,186
ase,3,NA,15,354.05,38599.73,38,366,2.5,0,0,388931.11,52075.67,30260.23,3035.5,1555.85,200
at,2,5582.62,17,1296.27,16600.89,9.5,5582.62,1,NA,NA,386984.39,40052.5,45222.05,7366,NA,NA
away,4,688.212,2,3.78,9559.25,119.75,881.15,10,691.25,1.5,233907.27,24442.75,10639.27,700.67,1992.17,101
baafness,8,NA,0,0,3345.72,1250.75,436.77,170.29,224.82,60.83,282519.56,38291.38,11316.21,3067.43,1392.78,677.17
back,4,1235.84,16,22.16,12493.28,226.75,2378.72,36.33,1335.52,5.5,148964.86,20045.75,8339.06,1853,2228.36,387
bads,4,NA,19,6.54,12676.31,310.25,1146.32,29.67,12.08,4,219555.87,31132.25,8560.51,1366.33,273.16,73.5
ball,4,96.1403,18,45.2,14146.16,248.25,3140.65,41.67,441.73,7,197040.69,27793.25,19342.64,3144.67,5300.74,742
bams,4,NA,16,4.79,13970.41,315.5,1418.35,32.33,3.93,4,203632.45,29523.25,5490.66,1184,80.23,53
bangs,5,2.4987,9,8.04,6852.65,639.2,474.75,61.75,102.94,14.33,216508.46,31786,27024.65,3922.75,1528.57,338.33
banny,5,NA,8,5.77,6858.8,466.8,468.16,52.5,94.73,11,220253.74,27864.6,18991.15,1988.5,642.14,158
bawed,5,NA,12,2.6,9318,509,982.28,91.75,10.89,9,245620.55,28414.4,15586.58,2477.5,262.24,52.67
be,2,6137.93,13,1493.07,15842.9,7.5,6137.93,1,NA,NA,293794.84,37034,21330.06,1495,NA,NA
beautiful,9,114.881,0,0,2222.88,615.78,379.27,66.38,132.66,8.29,240852.01,30748.89,15131.13,2320.38,736.24,184.29
become,6,392.057,1,279.85,7317.45,528.17,1426.36,40.8,621.36,4,275226.71,34704.83,20246.61,2461.2,4189.49,332
beeching,8,NA,2,0.77,4865.28,1221.38,1825.59,441.43,1045.2,231.67,268297.14,34567.62,30436.75,4380.71,7005.77,1394.33
beeltisul,9,NA,0,0,2391.5,659.33,294.7,62.5,4.93,3.57,280911.23,39133.44,17944.28,2843.75,877.59,104.71
begin,5,120.175,4,110.83,6354.44,282,1009.52,29.5,268.59,4.33,252749.47,35608.2,27164.09,4055.75,1044,172
beller,6,NA,3,1.47,9597.98,943.5,2678.07,221.4,336.89,30.25,281975.79,39266.17,30452.15,4793,1824.61,427.5
benon,5,NA,4,0.28,5354.55,322.4,699.35,41.5,13.15,4,296830.41,37032,32592.69,3932.5,457.4,106.67
bere,4,NA,9,495.05,20372.77,269,5765.01,33.33,2193.55,3,337943.95,44225.25,48056.76,6563.67,7240.38,583
besime,6,NA,1,95.01,8112.97,639.17,1138.87,47,99.43,4.25,296791.31,41924.67,22260,4065,1328.28,162
best,4,345.772,15,42.99,17453.67,223.5,3668.62,29.33,604.65,5.5,310876.24,40790,30419.08,6641.67,2910.71,905
better,6,435.784,9,21.4,10666.53,963.67,3320.03,230.8,896.9,46.5,356025.45,42224.17,28089.68,4750.8,3922.28,784.5
bi,2,NA,14,764,5347.98,7,0,0,NA,NA,185864.74,29492,3071.19,1155,NA,NA
black,5,346.307,5,12.68,6487.72,303.4,1343.6,52.5,594.45,10.33,153179.78,21906.2,10412.52,2390,1725.69,335.33
blans,5,NA,7,15.94,9209.14,611.6,1156.11,69.25,350.69,14,233713.66,34317,24610.88,3688,1458.6,436.67
bledge,6,NA,3,2.2,5288.16,436.67,326.19,36.4,23.62,6.5,254890.27,34127.5,17578.81,3385.8,2081.41,482.25
bone,4,28.1996,16,54.83,19692.35,308,1749.34,36.33,451.55,6.5,299358.47,36567.5,25986.91,4175.67,3525.39,335
bot,3,NA,25,483.9,17755.69,78.33,3312.17,10.5,0,0,260539.31,27376,11683.01,1480,923.86,58
bove,4,NA,12,51.15,18981.12,262.25,2946.93,23.33,278.1,4,237961.88,28253.75,14197.93,1734.67,2709.33,341
brought,7,254.629,2,5.12,4264.88,492,1297.08,63,788.84,14.8,210162.95,24151.14,14839.12,1616.83,4000.9,289.6
brubs,5,NA,2,0.71,7497.58,525,434.55,34.25,20.54,4.33,151427.74,25979.6,2816.77,800.75,207.53,76
brush,5,18.3833,3,4.62,7419.9,283.2,654.2,37,57.47,5.67,187107.91,26340.2,9407.74,1773.5,436.18,146
budget,6,32.0071,2,0.3,7216.6,790.5,587.98,87,92.87,15.25,224684.89,28107.67,7461.94,1242.8,797.9,98.5
building,8,160.333,0,0,4394.39,1135.38,1977.45,422.14,1174.51,221.17,187780.55,28996,23665.26,4116.57,5970.97,1307.67
bulbet,6,NA,1,13.39,7373.92,805.33,480.38,64.4,4.63,2.25,222337.68,28452.17,11011.55,1374.6,384.28,65.25
business,8,237.733,1,0.59,3815.59,1210.5,737.06,198,393.32,71.83,261102.41,41554.88,27146.64,5525.57,2780.42,1014.83
but,3,5240.18,17,225.51,12411.18,62,7040.52,8,5240.18,1,192132.3,22432.33,12428.51,1244.5,5597.26,113
cag,3,NA,21,114.5,11270.87,74.67,1201.7,10,0,0,194144.35,27068.33,11036.03,2334,20.64,11
can,3,1954.34,17,95.62,13064.04,76.33,2765.97,9,1954.34,1,261712.59,34467.33,39932.83,4516.5,3277.87,336
candy,5,6.72268,7,4.03,5620.38,442.8,668.71,57,146.17,10.33,206259.82,26730,31927.98,2982.25,11975.33,391.67
car,3,274.916,18,168.04,16318.28,66,1786.54,9,274.92,1,247106.5,34623.67,24278.37,4080.5,1746.11,403
cas,3,NA,13,1193.42,18174.49,67,7755.46,6,0,0,254048.8,38460.67,24075.6,2976.5,1104.78,194
cat,3,43.3107,23,132.27,17386.11,81,1462.13,11,43.31,1,296869.34,34244.67,30418.17,5352.5,1576.62,744
chance,6,147.483,2,133.5,6292.68,515.83,1020.78,69.4,444.05,17.25,277961.26,33650.33,29961.14,2983,4128.49,577.75
chanding,8,NA,3,19.93,4610.28,1165,1971.73,463.57,1075.8,239.5,234051.58,30119.25,42177.89,5315.71,12308.29,1622.17
charks,6,NA,5,3.17,5243.33,695,693.95,74,199.78,13,213481.18,28702.5,18843.73,2102.8,1376.5,282.25
charring,8,0.0594928,4,7.51,4976.85,1240.75,1953,472.57,959.38,241.5,238135.18,32450,32765.44,5219.57,6717.88,1581.33
che,3,NA,4,16431.17,49872.23,36.67,32859.39,1.5,0,0,294209.93,32833.33,67480.92,2769.5,2439.8,742
chigshen,8,NA,0,0,3766.96,854.88,625.05,97.14,147.04,13.67,258402.33,33217.5,33339.03,2551,2304.55,211.5
children,8,647.817,0,0,4131.4,898.88,1097.94,108.14,691.24,8.83,256765.78,34458.62,25662.7,3081.71,1925.87,221.17
cibsus,6,NA,0,0,4864.99,701.33,109.4,23.6,4.09,1.5,188954.55,33639,7055.47,1337.6,77.61,22.25
circus,6,15.0517,1,0.3,5796.45,765.83,224.24,30.2,40.04,3.25,193872.7,33726.33,8128.01,1501.6,332.89,94
clomify,7,NA,0,0,5509.79,798.14,297.78,64.33,71.47,13,170361.8,23622.57,8793.66,1441.67,456.76,132.6
clought,7,NA,0,0,3957.88,476.43,958.45,43.33,665.5,11.4,206945.13,24440.29,13467.12,1413.67,3307.13,257.2
cok,3,NA,13,6.09,10014.74,55.67,39.59,6.5,0,0,156967.2,20339.33,12578.26,2216.5,6.6,8
collapse,8,23.1427,0,0,3264.88,824.88,533.37,119.14,83.26,16.17,253151.73,35886.38,14767.62,2624.86,682.81,187.67
collosks,8,NA,0,0,3321.23,1028.25,491.42,120.86,88.41,16.33,207695.02,31845.75,11249.16,2053.71,846.45,164.33
cologne,7,3.86703,0,0,6449.86,871.57,712.79,92,83.52,6.4,260706.93,33951.14,11945.33,2384,662.01,223.8
come,4,845.987,16,200.29,18482.25,273.25,3923.41,31.33,2049.4,5,265942.64,33540.25,22448.34,2909.67,6345.91,524
complase,8,NA,0,0,3432.2,878.5,611.04,116.14,178.95,21.67,244736.69,34061.12,18505.67,2600,2563.49,358.5
complete,8,99.2934,0,0,3709.31,946.5,688.99,152,210.61,23,278232.62,35179,18425.33,3436,2459.76,359.17
compliment,10,7.19862,1,4.88,2129.08,698,825.09,132.89,464.73,47,239943.81,31998.4,20781.02,3174.11,4318.69,630.25
configuration,13,2.02275,0,0,437.5,229.23,242.99,107.67,159.32,64.55,250830.85,32793.69,22067.84,4056.92,4261.75,1040.45
congusozation,13,NA,0,0,434.93,226,229.47,102.75,145.96,61.55,246721.38,32077.08,23254.33,4164.08,3992.41,934.64
contain,7,35.4577,0,0,5787.98,818,1218.12,122.5,555.33,26,298942.34,37459.43,34253.83,5505.67,3527,586.6
contive,7,NA,2,0.24,7771.68,1080.71,1372.74,157,327.92,28,283787.99,35793.14,27631.69,4708.5,3890.62,798.8
coth,4,NA,7,89.43,13607.23,204.75,3418.39,29.33,313.02,3,269164.51,26640,54535.57,2540.33,2601.82,156.5
cotosks,7,NA,0,0,5396.62,982.43,626.08,74.83,6.65,1.4,244809.95,33470.29,14775.93,1761.33,116.15,59.6
cotplicant,10,NA,0,0,1912.85,685.9,491.36,110.89,24.12,10,256332.17,32975.2,21380.13,3253.67,1689.49,401.38
could,5,1906.39,2,1462.12,12069.67,410.4,5582.54,48.5,3938.35,6,178824.5,24990.4,21529.6,2426.75,5509.09,149.67
cow,3,23.2617,24,128.62,11721.06,63,1566.68,12.5,23.26,1,177361.72,20293.33,17567.05,2581.5,78.77,59
cowbim,6,NA,0,0,3696.47,415.83,458.58,51,4.13,2.75,167755.63,22435,9877.53,1576.6,23.37,25.5
cowboy,6,4.69993,0,0,4930.39,502.33,460.34,51,6.69,4,166877.19,18975.33,8859.05,1367.2,132.45,43.5
creat,5,NA,8,92.01,9314.91,339.2,1340.34,47.5,652.68,11.33,330958.83,41113.4,33120.31,4663.25,4062.94,453.33
crit,4,NA,5,1.81,12177.44,171,189.35,18,4.13,2,264288.4,37150,20959.32,3403.33,1682.34,327
crovel,6,NA,1,0.24,7448.74,778.83,652.4,83.4,83.88,13.25,235853.78,32292.83,15689.7,2334.4,2113.38,357.75
cuppom,6,NA,0,0,3358.12,378.33,170.21,33.8,31.4,4.25,136256.99,20270.33,8500.48,1283.2,535.52,75.25
custom,6,16.063,0,0,4454.2,460.83,421.17,54.4,56.99,7.5,219384.1,29710,22306.83,2896.6,1743.81,268.75
da,2,NA,13,169.51,1101.8,6.5,0,0,NA,NA,274096.57,31532.5,4733.9,912,NA,NA
dag,3,NA,19,53.08,11187.76,74,450.93,8,0,0,210735.54,26586,5595.83,1120.5,23.98,31
daople,6,NA,1,0.24,7944.38,648.5,1567.59,69.4,743.21,4.75,273536.85,34237.67,9402.2,1796.4,1154.68,85
dat,3,NA,21,68.15,17303,80.33,711.36,9,0,0,313460.53,33762.33,24977.97,4139,366.59,149
de,2,NA,13,1777,11550.49,6.5,0,0,NA,NA,343849.5,42328,21065.01,4210,NA,NA
describe,8,36.4096,0,0,4280.69,998.12,446.6,105.86,65.49,11,275497.58,39996.5,15657.24,3786,881.81,280
destrifs,8,NA,0,0,4820.15,1356.62,564.66,139.14,90.76,22.83,281312.66,40029.25,18597.4,4544.71,2290.89,655.5
distance,8,87.9898,0,0,3404.74,753.38,756.71,127,404.69,38.5,304272.25,40692.5,26882.02,4006.57,3944.38,846.17
distides,8,NA,0,0,4869.25,1374,899.78,283,205.8,38,298075.74,42822.5,25758.57,5760.57,2809.15,751.17
do,2,1907.99,15,2222.26,18574.94,8.5,1907.99,1,NA,NA,244769.4,27247,7726.27,986,NA,NA
dog,3,73.2356,15,8.58,10095.71,69.33,120.92,7.5,73.24,1,191184.09,23729,4928.62,995.5,149.56,66
dood,4,NA,8,204.26,13667.2,234.5,2781.35,33.33,817.04,4,244769.4,27247,8021.31,1159,1410.36,147
dooseful,8,NA,0,0,2681.07,597.12,178.78,55.43,63.27,13.17,247557.07,32230.75,10708.73,1604,1015.89,172.5
doubtful,8,14.3378,0,0,2360.9,558,201.64,46,63.83,11.17,181089.3,22185.88,9567.55,1113.71,522.98,111.83
down,4,1227.34,5,47.52,12042.81,199,1851.48,20,1328.69,3,217144.23,24580.75,8322.05,777.33,2572.59,164
drnuo,5,NA,0,0,3482.62,240,204.31,13.5,0,0,227412.38,30244.8,2716.13,517.75,15.49,9.67
drustion,8,NA,0,0,3897,914,908.31,150,466.24,42.67,262300.39,36088.25,21925.44,4278.14,5719.34,1183.67
dryer,5,2.02275,2,1.16,8106.58,380.8,2050.86,63,11.94,4.67,250649.47,34488,20235.98,3197.5,139.93,29
duttery,7,NA,1,1.43,6151,882.57,1106.29,192.5,248.28,46.8,273232.75,32572.29,22273.56,3809,3279.23,625.8
ees,3,NA,6,69.25,11608.47,50.33,207.69,2.5,0,0,435433.07,59272.67,25868.67,6677,440.96,144
ef,2,NA,7,4728.65,16550.28,3.5,0,0,NA,NA,308060.24,35670.5,4674.7,809,NA,NA
elements,8,46.4044,1,0.59,3513.63,975.75,610.75,114.43,217.46,25,347406.33,45312.25,23778.85,3723.43,4755.36,777.33
en,2,NA,9,3218.96,14485.31,4.5,0,0,NA,NA,404002.2,51182,44818.04,6080,NA,NA
enan,4,NA,1,0.24,11967.13,114.75,753.65,10,0,0,369125.73,45784.25,38945.99,4672,400.59,180
esslyots,8,NA,0,0,2724.59,847.88,237.84,71,1.39,4.17,284696.13,40754,14518.04,3442.86,1173.02,505.67
et,2,NA,15,1103.9,8279.23,7.5,0,0,NA,NA,456737.32,50848,13927.55,2447,NA,NA
etecants,8,NA,0,0,3503.16,957.62,383.41,99.29,100.17,16.67,359476.73,44708,25506.83,4047,2201.17,421.17
even,4,1334.3,4,119.4,11794.76,103.5,4730.8,9.33,1569.45,2.5,342605.61,42868.25,27471.53,3261.33,5315.32,359.5
everyone,8,159.917,0,0,3128.96,722,409.63,71.29,200.94,19.83,317185.38,39585.5,27231.95,3831,4586.68,355.83
fafever,7,NA,0,0,5596.7,1024.14,1018.46,163.83,206.19,5,271150.44,32794.14,19869.16,2796.33,3461.43,286.2
family,6,334.587,0,0,7618.88,685.33,1323.95,84.4,399.64,10.25,189091.29,25216.67,10978.33,2124,1085.64,165.5
famous,6,79.2444,0,0,6272.66,757.17,738.76,51.6,178.78,5.25,214015.26,27859.83,16601.75,1935.2,1524.64,393.5
farmer,6,32.5425,4,23.98,9358.88,974.17,2235.8,201.4,155.74,13,264403.31,34448,27102.65,4051.2,1035.43,199.25
fasees,6,NA,0,0,10048.32,1204.67,1328.2,159.8,15.66,6.5,341106.77,46406.33,23615.65,4027.2,1263.57,126.5
fast,4,102.982,13,126.59,19444.24,251,3291.77,35,691.57,6,283132.47,34710.5,23992.36,3305,1812.54,356.5
faster,6,35.9931,12,8.27,9508.89,980.67,2608.09,233.4,621.61,45.75,316119.33,40279.17,34150.22,5694.4,4312.27,954.25
father,6,343.987,5,99.56,9379.27,912,2835.26,186.6,1154.11,19.75,312948.93,33867,71955.08,4783.6,26325.55,428.75
fatter,6,1.42783,15,48.36,9981.49,977.5,3124.13,230.4,840.35,48.25,337529.6,38171.17,31246.66,5577.8,3893.99,798.25
fattify,7,NA,0,0,6607.34,980.57,888.25,130.83,194.91,34,248714.32,27359.57,16033.93,3121.5,862.69,211.6
fave,4,NA,17,340.39,20420.04,252.75,4306.46,21,2485.9,4.5,259758.17,29714.75,14122.75,1453.33,3180.96,164.5
fawerty,7,NA,0,0,4246.18,659.14,642.06,57.67,48.38,4,257865.37,29258.57,17355.02,2575.5,1447.71,119
fimp,4,NA,2,6.54,10714.53,158.5,1187.85,19,6.54,1,145388.93,21807.5,8538.26,1441.67,938.59,212.5
finally,7,170.149,0,0,4638.29,734.71,913.94,115,379.04,14.6,212655.18,29256,27541.43,4681.67,3976.06,675.4
find,4,482.129,13,83,13671.31,204.75,2150.47,36,997.75,6,213347.82,29082.25,44690.76,5669,2921.75,358
fine,4,140.879,19,75.44,19550.72,255.75,1886.75,40.33,624.64,8.5,302066.17,39655.25,37047.99,6200.33,2935.43,718
fing,4,NA,14,60.56,11033.63,181,1753.81,37,423.68,6.5,192747.98,27960,41485.96,7433.67,15837.21,3630.5
fireer,6,NA,1,1.78,9567.1,963.5,1967.02,168.8,170,6.25,321438.75,43653.83,31468.84,4497,1658.82,227.25
fish,4,178.359,4,41.81,13882.8,163.25,1007.13,24,261.98,3,227172.87,29881,18700.62,2813,1404.33,388.5
fistory,7,NA,1,184.19,5505.22,781.43,945.07,115.67,266.98,17.4,243135.71,32440.86,26750.22,3328.17,2074.03,581.8
fite,4,NA,14,52.77,20136.77,229.75,3262.03,23.33,48.49,3.5,328433.73,39488.25,26703.17,4164,1615.05,240.5
flankfopper,11,NA,0,0,403.99,302.45,46.33,42,3.94,6.22,209437.06,27230.09,19036.42,2763.1,1186.17,276.67
freat,5,NA,3,227.58,8993.82,313,1325.93,40,655.91,9.67,326597.84,38161,33776.09,4474.25,3800.44,402.67
from,4,4229.52,2,1.93,9275.84,122.75,4635.42,12,4231.45,2,190894.84,23821,15914.85,2034.33,4688.21,139
fror,4,NA,2,2116.57,8752.9,121.5,3185.24,10.33,2116.57,1,225940.03,29974.25,22154.41,2798.33,2451.37,86
fruit,5,59.4928,0,0,8260.42,290.8,380.11,26.25,59.65,2,230650.72,30463.8,13154.04,1536.75,432.21,92.33
gaian,5,NA,0,0,8020.5,380.2,532.01,34.5,13.23,1.67,287943.66,37547.8,22034.3,2539,890.07,179.67
ganner,6,NA,9,10.03,8912.02,971,2082.38,209.2,257.26,23.25,300569.39,39864.83,31975.93,4557.2,1173.96,259.25
ganter,6,NA,7,0.47,9224.8,994.67,2557.57,237.6,565.85,36.5,318147.76,39753.5,39429.67,6013.4,4672.84,1058
garbant,7,NA,0,0,6083.18,899.14,753.56,113.33,93.19,17.4,262240.6,32503.43,22908.56,3039.5,1174.86,319.8
